Nom,Description,Type,PV_Joueur,PP_Joueur,PV_Adversaire,PP_Adversaire,AffecteNuit,LancerPiece
Touché d'encre,Choisissez une carte à faire défausser à l'adversaire. (L'adversaire doit ensuite piocher une nouvelle carte),Effet,,,,,,
"Sourd d'oreille","Les effets diminuant les PV/PP sont inefficaces pendant ce tour (pour tous les joueurs)",Effet,,,,,,
"Effet Amplificateur","Les effets augmentant les PV/PP sont doublés pendant les 3 prochains tours (on peut le faire pendant une période nuit)",Effet,,,,1,,
"Dénie","Annule la carte adverse précédente (sur le terrain)",Effet,,,,,,
"Douceur ensoleillé","Gagne 1 PV; Gagne 1 PV de plus si le jour",Effet,1,,,,,
"Jacko le fouineur","Regarde les 2 prochaines cartes de la pioche du joueur de son choix",Effet,,,,,,
"Antidouleur en herbe","Prévient de la prochaine source de dégâts auto-infligé. Gagne 1 PV",Effet,1,,,,,
"Carte piège Yugi","Masque la prochaine carte jouée à l’adversaire. Vous pouvez jouer une nouvelle carte pour ce tour. Elle sera jouée dans 3 tours",Effet,,,,,,
"Héros de shonen / ou Outsider prolifique","Le joueur perd un point de popularité mais peut jouer deux autres cartes ce tour",Popularité + Effet,,,,-1,,
"La chance sourit aux audacieux","Le joueur lance une pièce, tant que face; il gagne +1 PP",Popularité,,0,,,0,1
"Le malade imaginaire (faut avoir la ref :) )","Le joueur gagne 2PP mais perd 1PV",Popularité,-1,2,,,,
"Peau de Banane","L'adversaire perd 1PP",Attaque,,,,-1,,
"Le tout pour le tout","L'adversaire perd 3PV; s'il survit; il gagne 3PP",Attaque,,,,-3,3,
"Coup bas","L'adversaire perd 1PV",Attaque,,,,-1,,
"Kamikaze","Inflige 2 PV à l’adversaire. Inflige 1 PV à soi-même",Attaque,-1,,,2,,
"Dans ta Face","Le joueur lance une pièce; tant que face; l’adversaire -1 PV",Attaque,,,,-1,,1
"Fureur de la nuit","Inflige 1 PV à l’adversaire; inflige 1 PV de plus si la nuit",Attaque,,,,-1,1,
"Hymne à Flute","Le joueur gagne 1PV",Defense,1,,,,,
"Ode à la Joie","Le joueur gagne 3PV",Defense,3,,,,,
"Anticipation","Bloque la prochaine attaque de la carte adverse",Defense,,,,,,
